School,Context,Municipality,Grade
Escola Básica Dr. Costa Matos,Normal,Vila Nova de Gaia,3.13
Escola Básica da Foz do Neiva,Normal,Viana do Castelo,3.13
Escola Básica de Vallis Longus,Normal,Valongo,3.12
Escola Básica Frei Manuel de Santa Inês,Normal,Gondomar,3.12
Escola Básica de Loureiro,Normal,Oliveira de Azeméis,3.12
Escola Básica e Secundária da Chamusca,Normal,Chamusca,3.11
Escola Secundária de Paços de Ferreira,Normal,Paços de Ferreira,3.11
Escola Secundária de Coruche,Normal,Coruche,3.11
Escola Básica de Viso,Normal,Viseu,3.11
Escola Básica Padre João Coelho Cabanita,Normal,Loulé,3.11
Escola Básica D. Manuel de Faria e Sousa,Normal,Felgueiras,3.11
Escola Básica Fernando Casimiro Pereira da Silva,Normal,Rio Maior,3.11
Escola Secundária de Porto de Mós,Normal,Porto de Mós,3.1
Escola Básica Manuel Nascimento,Normal,Monchique,3.1
Escola Secundária de Alcanena,Normal,Alcanena,3.09
Escola Secundária Campos de Melo,Normal,Covilhã,3.09
Escola Básica de Manhente,Normal,Barcelos,3.09
Escola Básica Professor Artur Nunes Vidal,Normal,Águeda,3.09
Escola Secundária Dr.ª Felismina Alcântara,Normal,Mangualde,3.08
Escola Básica João de Deus,Normal,Silves,3.08
Escola Básica e Secundária Soares Basto,Normal,Oliveira de Azeméis,3.08
Escola Básica 4.º Conde de Ourém,Normal,Ourém,3.08
Escola Básica de Alcanede,Normal,Santarém,3.08
Escola Básica Infante D. Pedro,Normal,Figueira da Foz,3.07
Escola Básica e Secundária Joaquim Inácio da Cruz Sobral,Normal,Sobral de Monte Agraço,3.07
Escola Básica e Secundária Dr. Manuel Gomes Almeida,Normal,Espinho,3.07
Escola Básica José Carlos da Maia,Normal,Olhão,3.06
Escola Básica de Alfornelos,Normal,Amadora,3.06
Escola Básica Carlos de Oliveira,Normal,Cantanhede,3.05
Escola Básica D. Afonso Henriques,Normal,Guimarães,3.05
Escola Básica Dr. Pedrosa Veríssimo,Normal,Figueira da Foz,3.05
Escola Secundária de Vagos,Normal,Vagos,3.05
Escola Básica e Secundária de Rio Tinto,Normal,Gondomar,3.04
Escola Secundária de Monção,Normal,Monção,3.04
Escola Secundária de Oliveira do Hospital,Normal,Oliveira do Hospital,3.03
Escola Secundária da Trofa,Normal,Trofa,3.03
Escola Secundária de Penafiel,Normal,Penafiel,3.03
Escola Secundária de Montemor-o-Novo,Normal,Montemor-o-Novo,3.03
Escola Secundária da Lousã,Normal,Lousã,3.03
Escola Secundária Abade de Baçal,Normal,Bragança,3.02
Escola Básica e Secundária Pedro da Fonseca,Normal,Proença-a-Nova,3.02
Escola Básica e Secundária de Monte da Ola,Normal,Viana do Castelo,3.02
Escola Básica de Pevidém,Normal,Guimarães,3.02
Escola Básica Dr. Azeredo Perdigão,Normal,Viseu,3.02
Escola Básica e Secundária de Melgaço,Normal,Melgaço,3.01
Escola Básica e Secundária de Alcains,Normal,Castelo Branco,3.01
Escola Secundária de Nelas,Normal,Nelas,3.01
Escola Básica D. Paio Peres Correia,Normal,Tavira,3.0
Escola Básica e Secundária Dr. Serafim Leite,Normal,São João da Madeira,3.0
Escola Básica da Abrigada,Normal,Alenquer,3.0
Escola Básica Cónego Dr. Manuel Lopes Perdigão,Normal,Ourém,3.0
Escola Básica de São Gonçalo,Normal,Torres Vedras,3.0
Escola Secundária de D. Afonso Henriques,Normal,Santo Tirso,2.99
Escola Básica e Secundária Miguel Torga,Normal,Bragança,2.99
Escola Básica Dr. Correia Alexandre,Normal,Leiria,2.99
Escola Básica Padre António Lourenço Farinha,Normal,Sertã,2.99
Escola Básica Soeiro Pereira Gomes,Normal,Vila Franca de Xira,2.99
Escola Básica Infanta D. Mafalda,Normal,Gondomar,2.99
Escola Básica Dr. Rui Grácio,Normal,Sintra,2.99
Escola Básica e Secundária de São Martinho do Porto,Normal,Alcobaça,2.98
Escola Básica de Freiria,Normal,Torres Vedras,2.98
Escola Básica Júdice Fialho,Normal,Portimão,2.98
Escola Básica e Secundária Dr. Daniel de Matos,Normal,Vila Nova de Poiares,2.97
Escola Básica Prof. Paula Nogueira,Normal,Olhão,2.97
Escola Básica n.º 1 de Elvas,Normal,Elvas,2.97
Escola Básica e Secundária Padre António Morais da Fonseca,Normal,Murtosa,2.97
Escola Básica e Secundária Sacadura Cabral,Normal,Celorico da Beira,2.97
Escola Secundária Júlio Dinis,Normal,Ovar,2.97
Escola Secundária de Molelos,Normal,Tondela,2.97
Escola Básica de Tortosendo,Normal,Covilhã,2.97
Escola Básica de Pataias,Normal,Alcobaça,2.97
Escola Básica Frei João de Vila do Conde,Normal,Vila do Conde,2.96
Escola Básica e Secundária de Mira de Aire,Normal,Porto de Mós,2.96
Escola Básica D. Luís de Ataíde,Normal,Peniche,2.96
Escola Básica e Secundária Carolina Michaelis,Normal,Porto,2.95
Escola Básica de Mosteiro e Cávado,Normal,Braga,2.95
Escola Básica Dr. Garcia Domingues,Normal,Silves,2.95
Escola Secundária de Figueiró dos Vinhos,Normal,Figueiró dos Vinhos,2.95
Escola Básica Monsenhor Miguel de Oliveira,Normal,Ovar,2.94
Escola Básica D. Duarte,Normal,Viseu,2.94
Escola Básica da Atouguia da Baleia,Normal,Peniche,2.94
Escola Secundária D. Dinis,Normal,Coimbra,2.94
Escola Básica Dr. Correia Mateus,Normal,Leiria,2.94
Escola Básica e Secundária Santos Simões,Normal,Guimarães,2.93
Escola Secundária Dr. João Carlos Celestino Gomes,Normal,Ílhavo,2.93
Escola Básica e Secundária Dr. Manuel Ribeiro Ferreira,Normal,Alvaiázere,2.93
Escola Secundária de Santa Comba Dão,Normal,Santa Comba Dão,2.93
Escola Básica e Secundária Cunha Rivara,Normal,Arraiolos,2.93
Escola Básica Dr. António João Eusébio,Normal,Olhão,2.92
Escola Básica dos 2º e 3º Ciclos com Ensino Secundário Professor Armando de Lucena,Normal,Mafra,2.92
Escola Básica Padre Bento Pereira,Normal,Borba,2.92
Escola Secundária de Sabugal,Normal,Sabugal,2.91
Escola Básica D. João I,Normal,Moita,2.91
Escola Secundária Cristina Torres,Normal,Figueira da Foz,2.91
Escola Básica de Palmeira,Normal,Braga,2.91
Escola Secundária de Moura,Normal,Moura,2.91
Escola Básica Pintor Mário Augusto,Normal,Figueira da Foz,2.91
Escola Básica Frei Manuel Cardoso,Normal,Fronteira,2.9
Escola Básica Rio Arade,Normal,Lagoa,2.9
Escola Básica e Secundária Ferreira de Castro,Normal,Oliveira de Azeméis,2.9
Escola Básica de Vale de Aveiras,Normal,Azambuja,2.9
Escola Básica Abel Varzim,Normal,Barcelos,2.9
Escola Básica Professor Sebastião José Pires Teixeira,Normal,Loulé,2.9
Escola Básica e Secundária Fernão do Pó,Normal,Bombarral,2.9
Escola Secundária de Carregal do Sal,Normal,Carregal do Sal,2.89
Escola Básica de Darque,Normal,Viana do Castelo,2.89
Escola Básica Eng. Manuel Rafael Amaro da Costa,Normal,Odemira,2.88
Escola Secundária Jácome Ratton,Normal,Tomar,2.88
Escola Secundária da Lixa,Normal,Felgueiras,2.88
Escola Básica e Secundária de Santa Maria da Feira,Normal,Santa Maria da Feira,2.87
Escola Básica D. António de Ataíde,Normal,Vila Franca de Xira,2.87
Escola Básica Frei Caetano Brandão,Normal,Braga,2.87
Escola Básica e Secundária de Barroselas,Normal,Viana do Castelo,2.87
Escola Secundária D. Afonso Sanches,Normal,Vila do Conde,2.87
Escola Básica de Ribamar,Normal,Lourinhã,2.86
Escola Básica e Secundária Coelho e Castro,Normal,Santa Maria da Feira,2.86
Escola Secundária de Gondomar,Normal,Gondomar,2.85
Escola Básica de Ribeirão,Normal,Vila Nova de Famalicão,2.85
Escola Básica e Secundária Salvaterra de Magos,Normal,Salvaterra de Magos,2.85
Escola Básica de Real,Normal,Braga,2.84
Escola Básica Dr. João das Regras,Normal,Lourinhã,2.84
Escola Secundária José Loureiro Botas,Normal,Marinha Grande,2.84
Escola Básica Prof. João Fernandes Pratas,Normal,Benavente,2.84
Escola Básica de Peniche,Normal,Peniche,2.82
Escola Básica e Secundária de Ermesinde,Normal,Valongo,2.82
Escola Básica Manuel Ferreira Patrício,Normal,Évora,2.82
Escola Básica Paulo da Gama,Normal,Seixal,2.81
Escola Básica D. João de Portel,Normal,Portel,2.81
Escola Básica da Madalena,Normal,Vila Nova de Gaia,2.81
Escola Secundária de Ponte de Sor,Normal,Ponte de Sor,2.81
Escola Básica e Secundária de Muralhas do Minho,Normal,Valença,2.81
Escola Básica de São Miguel,Normal,Guarda,2.81
Escola Básica de S. Vicente,Normal,Vila do Bispo,2.81
Escola Básica e Secundária Dr. Ferreira da Silva,Normal,Oliveira de Azeméis,2.8
Escola Básica n.º 2 de Avelar,Normal,Ansião,2.79
Escola Básica de Jovim e Foz do Sousa,Normal,Gondomar,2.79
Escola Básica D. Manuel I,Normal,Santarém,2.79
Escola Secundária António Inácio da Cruz,Normal,Grândola,2.79
Escola Básica D. Pedro II,Normal,Moita,2.78
Escola Básica da Costa da Caparica,Normal,Almada,2.78
Escola Básica do Bom Sucesso,Normal,Vila Franca de Xira,2.77
Escola Básica Cardoso Lopes,Normal,Amadora,2.76
Escola Básica do Maxial,Normal,Torres Vedras,2.76
Escola Básica de Marinhais,Normal,Salvaterra de Magos,2.75
Escola Secundária Dr. Solano de Abreu,Normal,Abrantes,2.75
Escola Básica e Secundária de Alfândega da Fé,Normal,Alfândega da Fé,2.75
Escola Secundária da Amora,Normal,Seixal,2.74
Escola Secundária Sá de Miranda,Normal,Braga,2.74
Escola Básica e Secundária de Albufeira,Normal,Albufeira,2.73
Escola Secundária Abel Salazar,Normal,Matosinhos,2.73
Escola Secundária de Odivelas,Normal,Odivelas,2.73
Escola Secundária Alves Redol,Normal,Vila Franca de Xira,2.73
Escola Secundária Drª Laura Ayres,Normal,Loulé,2.73
Escola Básica Dr. António de Sousa Agostinho,Normal,Loulé,2.72
Escola Básica de Porto Alto,Normal,Benavente,2.72
Escola Básica de Rio Tinto,Normal,Gondomar,2.72
Escola Básica Infante D. Pedro,Normal,Penela,2.71
Escola Básica de Aljezur,Normal,Aljezur,2.71
Escola Básica de Aguada de Cima,Normal,Águeda,2.7
Escola Básica Dr. António Augusto Louro,Normal,Seixal,2.7
Escola Básica Amadeu Gaudêncio,Normal,Nazaré,2.69
Escola Básica e Secundária Mestre Domingos Saraiva,Normal,Sintra,2.69
Escola Secundária do Monte da Caparica,Normal,Almada,2.68
Escola Básica Gualdim Pais,Normal,Tomar,2.66
Escola Secundária Dr. Augusto César da Silva Ferreira,Normal,Rio Maior,2.66
Escola Básica de São Lourenço,Normal,Valongo,2.66
Escola Básica Padre Alberto Neto,Normal,Sintra,2.66
Escola Básica Dr. José de Jesus Neves Júnior,Normal,Faro,2.66
Escola Básica de S. João do Estoril - Galiza,Normal,Cascais,2.64
Escola Básica de Colmeias,Normal,Leiria,2.63
Escola Secundária Júlio Dantas,Normal,Lagos,2.63
Escola Básica de Algoz,Normal,Silves,2.63
Escola Básica Dr. António da Costa Contreiras,Normal,Silves,2.62
Escola Secundária Henriques Nogueira,Normal,Torres Vedras,2.62
Escola Básica de Lousada Centro,Normal,Lousada,2.62
Escola Básica Ana Maria Ferreira Gordo,Normal,Crato,2.61
Escola Secundária de Maximinos,Normal,Braga,2.61
Escola Básica e Secundária José Relvas,Normal,Alpiarça,2.6
Escola Secundária Padre Alberto Neto,Normal,Sintra,2.58
Escola Básica Professor João Cónim,Normal,Lagoa,2.58
Escola Básica Pedro Eanes Lobato,Normal,Seixal,2.58
Escola Básica D. Dinis,Normal,Odivelas,2.58
Escola Básica e Secundária Matilde Rosa Araújo,Normal,Cascais,2.57
Escola Básica de Vialonga,Normal,Vila Franca de Xira,2.57
Escola Básica e Secundária Lima de Freitas,Normal,Setúbal,2.56
Escola Secundária de Mem Martins,Normal,Sintra,2.56
Escola Básica e Secundária Frei Gonçalo de Azevedo,Normal,Cascais,2.56
Escola Secundária de Albergaria-a-Velha,Normal,Albergaria-a-Velha,2.56
Escola Básica e Secundária Aquilino Ribeiro,Normal,Oeiras,2.55
Escola Básica Mouzinho da Silveira,Normal,Moita,2.54
Escola Secundária Fernando Namora,Normal,Amadora,2.53
Escola Básica de Eixo,Normal,Aveiro,2.53
Escola Básica e Secundária de Alvide,Normal,Cascais,2.53
Escola Básica de Pegões,Normal,Montijo,2.5
Escola Secundária Pedro Alexandrino,Normal,Odivelas,2.5
Escola Básica e Secundária José Silvestre Ribeiro,Normal,Idanha-a-Nova,2.5
Escola Básica e Secundária José Gomes Ferreira,Normal,Ferreira do Alentejo,2.5
Escola Básica Fialho de Almeida,Normal,Cuba,2.5
Escola Secundária Frei Heitor Pinto,Normal,Covilhã,2.49
Escola Básica Marquesa de Alorna,Normal,Lisboa,2.48
Escola Básica Prof. Pedro d' Orey da Cunha,Normal,Amadora,2.48
Escola Básica Luísa Todi,Normal,Setúbal,2.48
Escola Básica Rainha D. Leonor de Lencastre,Normal,Sintra,2.47
Escola Básica General Humberto Delgado,Normal,Loures,2.45
Escola Secundária Matias Aires,Normal,Sintra,2.45
Escola Secundária de Vendas Novas,Normal,Vendas Novas,2.45
Escola Secundária com 3º Ciclo de Sacavém,Normal,Loures,2.43
Escola Básica Professor Galopim de Carvalho,Normal,Sintra,2.4
Escola Secundária D. Manuel Martins,Normal,Setúbal,2.37
Escola Básica e Secundária Francisco Simões,Normal,Almada,2.35
Escola Básica e Secundária de Santo Antonio,Normal,Barreiro,2.34
Escola Secundária de Alcácer do Sal,Normal,Alcácer do Sal,2.33
Escola Básica António Sérgio,Normal,Sintra,2.32
Escola Básica Poeta Emiliano da Costa,Normal,Faro,2.31
Escola Básica e Secundária Passos Manuel,Normal,Lisboa,2.29
Escola Básica Visconde de Juromenha,Normal,Sintra,2.28
Escola Básica Ruy Belo,Normal,Sintra,2.17
Escola Secundária Fonseca Benevides,Normal,Lisboa,2.15
Escola Básica de São Vicente de Pereira Jusã,Normal,Ovar,3.27
Escola Básica de Minde,Normal,Alcanena,3.34
Escola Básica Prof. Dr. Ferrer Correia,Normal,Miranda do Corvo,2.88
Escola Básica n.º 2 de Teixoso,Normal,Covilhã,3.23
Escola Básica do Caramulo,Normal,Tondela,3.15
Escola Básica de Manique do Intendente,Normal,Azambuja,3.15
Escola Básica e Secundária de Vilar Formoso,Normal,Almeida,3.19
Escola Básica n.º 2 de Paúl,Normal,Covilhã,3.0
Escola Básica Nossa Senhora da Luz,Normal,Arronches,3.44
Escola Básica Garcia da Orta,Normal,Castelo de Vide,3.11
Escola Básica de Ammaia,Normal,Marvão,2.92
Escola Básica da Torreira,Normal,Murtosa,2.83
Escola Básica de Ponte das Três Entradas,Normal,Oliveira do Hospital,2.87
Escola Básica de Vilarinho do Bairro,Normal,Anadia,3.36
Escola Básica de Santo Tirso,Normal,Santo Tirso,2.8
Escola Básica de Lagares da Beira,Normal,Oliveira do Hospital,2.94
Escola Básica de Cordinha,Normal,Oliveira do Hospital,2.83
Escola Secundária Professor Doutor Flávio F. Pinto Resende,Normal,Cinfães,2.67
Escola Básica Professor Arménio Lança,Normal,Santiago do Cacém,2.37
Escola Básica de São Pedro de Alva,Normal,Penacova,2.79
Escola Básica Aristides de Sousa Mendes,Normal,Carregal do Sal,2.97
Escola Básica Dr. João Lúcio,Normal,Olhão,2.83
Escola Básica de Pias,Normal,Serpa,2.59
Escola Básica n.º 1 de Montargil,Normal,Ponte de Sor,2.25
Escola Básica e Secundária de Miranda do Douro,Normal,Miranda do Douro,2.89
Escola Básica Mestre de Avis,Normal,Avis,2.07
Escola Secundária Dr. Bernardino Machado,Normal,Figueira da Foz,2.16
Escola Básica Bernardim Ribeiro,Normal,Alcácer do Sal,2.3
Escola Básica do Couço,Normal,Coruche,2.46
Escola Secundária Lima de Faria,Normal,Cantanhede,2.53
Escola Básica de Peso da Régua,Normal,Peso da Régua,2.67
Escola Básica n.º 1 de Sabóia,Normal,Odemira,2.79
Escola Básica e Secundária Dr. José Casimiro Matias,Normal,Almeida,2.93
Escola Básica de Izeda,Normal,Bragança,3.0
Escola Básica Prof. Dr. Carlos Mota Pinto,Normal,Tondela,3.15
Escola Básica de Sendim,Normal,Miranda do Douro,3.17
Escola Básica de Vila Nova de Tazém,Normal,Gouveia,3.21
Escola Básica de Silvares,Normal,Fundão,3.27
Externato Escravas Sagrado Coração de Jesus,Privado,Porto,4.44
Colégio dos Plátanos,Privado,Sintra,4.38
Colégio Grande Colégio Universal,Privado,Porto,4.28
Colégio Rainha Santa Isabel,Privado,Coimbra,4.27
Colégio Moderno,Privado,Lisboa,4.25
Colégio D. Diogo de Sousa,Privado,Braga,4.23
Colégio Luso-Francês,Privado,Porto,4.21
Externato Senhora do Carmo,Privado,Lousada,4.19
Conservatório de Música de Barcelos,Privado,Barcelos,4.18
Colégio Nossa Senhora da Paz,Privado,Porto,4.17
Colégio São João de Brito,Privado,Lisboa,4.17
Escola de Música São Teotónio,Privado,Coimbra,4.16
Colégio Novo da Maia,Privado,Maia,4.09
Colégio Nossa Senhora de Fátima,Privado,Leiria,4.08
Colégio Nossa Senhora do Rosário,Privado,Porto,4.08
Colégio Nossa Senhora da Conceição,Privado,Guimarães,4.05
Academia de Música de Vilar do Paraíso,Privado,Vila Nova de Gaia,4.04
Colégio Manuel Bernardes,Privado,Lisboa,4.04
Colégio Santo André,Privado,Mafra,4.03
Colégio Valsassina,Privado,Lisboa,4.03
Colégio Nossa Senhora de Lourdes,Privado,Porto,4.03
Colégio Saint Peter's II School,Privado,Palmela,4.03
Colégio Infante Santo,Privado,Santarém,4.01
Colégio de Nossa Senhora da Assunção,Privado,Anadia,4.0
Colégio Internacional de Vilamoura,Privado,Loulé,4.0
Salesianos de Lisboa,Privado,Lisboa,3.97
Externato Ribadouro,Privado,Porto,3.97
Colégio Nossa Senhora da Bonança,Privado,Vila Nova de Gaia,3.96
Colégio Paulo VI,Privado,Gondomar,3.96
Colégio Oriente,Privado,Lisboa,3.95
Academia de Música de Santa Cecília,Privado,Lisboa,3.94
Salesianos do Estoril - Escola,Privado,Cascais,3.94
Externato João XXIII,Privado,Lisboa,3.93
Colégio Pedro Arrupe,Privado,Lisboa,3.93
Colégio da Via-Sacra,Privado,Viseu,3.91
Colégio Marista de Carcavelos,Privado,Cascais,3.9
Colégio Bissaya Barreto,Privado,Coimbra,3.89
Colégio do Ave,Privado,Guimarães,3.87
Colégio Euro-Atlântico,Privado,Matosinhos,3.87
Colégio do Sagrado Coração de Maria,Privado,Lisboa,3.87
Colégio Conciliar Maria Imaculada,Privado,Leiria,3.85
Academia de Música Costa Cabral,Privado,Porto,3.85
Externato Marista,Privado,Lisboa,3.85
Colégio do Vale,Privado,Almada,3.85
Colégio Santa Teresa de Jesus,Privado,Santo Tirso,3.84
Colégio Casa Mãe,Privado,Paredes,3.84
Externato da Apresentação de Maria,Privado,Funchal,3.84
Colégio João Paulo II,Privado,Braga,3.83
Colégio das Terras de Santa Maria,Privado,Santa Maria da Feira,3.83
Colégio Minerva,Privado,Barreiro,3.82
Externato Nossa Senhora do Rosário,Privado,Cascais,3.81
Colégio Atlântico,Privado,Seixal,3.81
Externato Marcelino Champagnat,Privado,Lisboa,3.8
Cooperativa de Ensino Didálvi,Privado,Barcelos,3.79
Externato da Luz,Privado,Lisboa,3.78
Colégio Vasco da Gama,Privado,Sintra,3.78
Colégio S. Tomás,Privado,Lisboa,3.78
Colégio Integrado de Monte Maior,Privado,Loures,3.78
Colégio da Bafureira,Privado,Cascais,3.78
Externato São José,Privado,Lisboa,3.78
Colégio Cesário Verde,Privado,Lisboa,3.75
Colégio de Amorim,Privado,Póvoa de Varzim,3.75
Colégio Santa Doroteia,Privado,Lisboa,3.74
Colégio Campo de Flores,Privado,Almada,3.73
Externato João Alberto Faria,Privado,Arruda dos Vinhos,3.73
Externato Frei Luís de Sousa,Privado,Almada,3.72
Escola Luís Madureira,Privado,Amadora,3.72
Colégio Nossa Senhora da Esperança,Privado,Porto,3.7
Colégio da Trofa,Privado,Trofa,3.69
Colégio de Santa Maria,Privado,Lisboa,3.69
Colégio Militar,Privado,Lisboa,3.67
Colégio da Associação Cultural e Recreativa de Fornelos,Privado,Fafe,3.65
Colégio do Minho,Privado,Viana do Castelo,3.63
Colégio Bartolomeu Dias,Privado,Loures,3.63
Colégio do Castanheiro,Privado,Ponta Delgada,3.61
Externato Camões,Privado,Gondomar,3.59
Colégio Amor de Deus,Privado,Cascais,3.59
Colégio de São José,Privado,Sintra,3.58
Colégio Salesianos,Privado,Évora,3.58
Colégio Santa Teresinha,Privado,Funchal,3.57
Externato Infante D. Henrique,Privado,Braga,3.57
Associação Escola 31 de Janeiro,Privado,Cascais,3.57
Colégio da Imaculada Conceição,Privado,Viseu,3.56
Colégio do Bom Sucesso,Privado,Lisboa,3.56
Instituto de Educação e Desenvolvimento (INED),Privado,Porto,3.55
Colégio Internato Claret,Privado,Vila Nova de Gaia,3.55
Externato Liceal de Albergaria dos Doze,Privado,Pombal,3.54
Colégio de Lamas,Privado,Santa Maria da Feira,3.54
Colégio La Salle,Privado,Barcelos,3.54
Colégio Teresiano,Privado,Braga,3.53
Instituto de Ciências Educativas,Privado,Odivelas,3.53
Colégio Guadalupe,Privado,Seixal,3.49
Instituto Militar dos Pupilos do Exército,Privado,Lisboa,3.48
Colégio São Gonçalo,Privado,Amarante,3.48
Colégio Planalto,Privado,Lisboa,3.45
Colégio José Álvaro Vidal,Privado,Vila Franca de Xira,3.43
Colégio João de Barros,Privado,Pombal,3.43
Centro Helen Keller,Privado,Lisboa,3.39
Colégio Miramar,Privado,Mafra,3.35
Externato António Sérgio,Privado,Beja,3.33
Escola Salesiana de Artes e Ofícios,Privado,Funchal,3.31
Colégio de Gaia,Privado,Vila Nova de Gaia,3.26
Colégio Dinis de Melo,Privado,Leiria,3.24
Colégio de S. Miguel,Privado,Ourém,3.23
Escola Salesiana de Manique,Privado,Cascais,3.22
Colégio Sagrado Coração de Maria,Privado,Ourém,3.21
Colégio Diocesano de Nossa Senhora da Apresentação,Privado,Vagos,3.16
Cooperativa Vale São Cosme,Privado,Vila Nova de Famalicão,3.16
Externato de Penafirme,Privado,Torres Vedras,3.15
Escola Nobel International School Algarve,Privado,Lagoa,3.13
Colégio Frei São Cristóvão,Privado,Caldas da Rainha,3.11
Instituto D. João V,Privado,Pombal,3.1
Colégio de Albergaria,Privado,Albergaria-a-Velha,3.07
Centro de Estudos Básicos e Secundários (CEBES),Privado,Porto,3.06
Centro de Estudos de Fátima,Privado,Ourém,3.05
Colégio Infante D. Henrique,Privado,Funchal,3.05
Externato Flor do Campo,Privado,Odivelas,3.04
Instituto Pedro Hispano,Privado,Soure,3.0
Colégio Júlio Dinis,Privado,Porto,2.98
Cooperativa de Ensino Didáxis,Privado,Vila Nova de Famalicão,2.98
Colégio Dr. Luís Pereira da Costa,Privado,Leiria,2.93
Externato Cooperativo da Benedita - Instituto Nª Srª da Encarnação,Privado,Alcobaça,2.91
Instituto Educativo do Juncal,Privado,Porto de Mós,2.9
Colégio Nossa Senhora da Graça,Privado,Odemira,2.85
Externato Vila Meã,Privado,Amarante,2.84
Colégio Real Colégio de Portugal,Privado,Lisboa,2.69
Instituto Vaz Serra,Privado,Sertã,2.63
Colégio Nossa Senhora da Conceição (Casa Pia),Privado,Lisboa,2.58
Colégio São Mamede,Privado,Batalha,2.48
Colégio Cidade Roda,Privado,Pombal,2.45
Externato As Descobertas,Privado,Lisboa,4.43
Colégio Cedros,Privado,Vila Nova de Gaia,4.42
Colégio Inglês de São Julião,Privado,Cascais,4.12
Instituto Nun'Alvares da Companhia de Jesus,Privado,Santo Tirso,4.1
Colégio Mira Rio,Privado,Lisboa,4.06
Colégio Horizonte,Privado,Vila Nova de Gaia,4.03
Colégio Nova Encosta,Privado,Paços de Ferreira,3.97
Colégio de São José,Privado,Coimbra,3.94
Colégio EFANOR,Privado,Matosinhos,3.93
Academia de Música de Cantanhede,Privado,Cantanhede,3.89
Escola Regional Dr. José Dinis da Fonseca,Privado,Guarda,3.83
Colégio Lamego,Privado,Lamego,3.81
Colégio Apostólico da Imaculada Conceição - Instituto Inácio de Loyola,Privado,Coimbra,3.8
Colégio Bernardette Romeira,Privado,Olhão,3.79
Colégio Raínha D. Leonor,Privado,Caldas da Rainha,3.78
Colégio Lourdes,Privado,Santo Tirso,3.77
Colégio Português,Privado,Aveiro,3.76
Colégio de São Teotónio,Privado,Coimbra,3.76
Escola Internacional de Torres Vedras,Privado,Torres Vedras,3.73
Colégio de Vizela,Privado,Vizela,3.69
Externato da Casa de São Vicente de Paulo,Privado,Lisboa,3.69
Colégio Diocesano Andrade Corvo,Privado,Torres Novas,3.69
Colégio Luso Britânico,Privado,Elvas,3.68
Colégio Ermesinde,Privado,Valongo,3.68
Colégio Quinta do Lago,Privado,Cascais,3.66
Colégio de Nossa Senhora do Alto,Privado,Faro,3.65
Externato Maria Droste,Privado,Valongo,3.62
Colégio Adventista de Oliveira do Douro,Privado,Vila Nova de Gaia,3.62
Colégio Laura Vicuña,Privado,Vendas Novas,3.58
Colégio A Quinta de Sintra,Privado,Sintra,3.58
Colégio Marca d'Água,Privado,Paços de Ferreira,3.54
Centro de Educação Integral,Privado,São João da Madeira,3.53
Externato de Santa Joana,Privado,Valongo,3.47
Externato São João Bosco,Privado,Matosinhos,3.44
Externato Carvalho Araújo,Privado,Braga,3.42
Escola Grémio de Instrução Liberal de Campo de Ourique,Privado,Lisboa,3.3
Salesianos do Porto Colégio,Privado,Porto,3.29
Externato Nossa Senhora do Perpétuo Socorro,Privado,Porto,3.29
Salesianos de Mogofores - Colégio,Privado,Anadia,3.25
Colégio D. Luísa Sigea,Privado,Cascais,3.2
Escola São Francisco Xavier,Privado,Lisboa,3.16
Colégio Senhora da Boa Nova,Privado,Cascais,3.15
Colégio de S. José de Bairros,Privado,Lousada,3.15
Colégio Académico,Privado,Lisboa,3.07
Escola Regional Dr. José Dinis da Fonseca,Privado,Sabugal,3.0
Externato Capitão Santiago de Carvalho,Privado,Fundão,2.88
Externato Educação Popular,Privado,Lisboa,2.61
Colégio Arautos do Evangelho,Privado,Guimarães,2.6
Externato Nossa Senhora Penha de França,Privado,Lisboa,2.5
Colégio São Filipe,Privado,Setúbal,2.3
Colégio D. Filipa,Privado,Amadora,2.25
Instituto Jacob Rodrigues Pereira,Privado,Lisboa,2.25
Colégio Maria Pia (Casa Pia de Lisboa),Privado,Lisboa,2.19
Colégio D. Nuno Álvares Pereira,Privado,Lisboa,2.13
